place_id;place_name;address;location;latitude;longitude;category_place;subcategory_place;operating_hours;price;price_min;price_max;total_reviews;avg_rating;website_link;description;activity;facility;category_age
T011;Tumurun Private Museum;"Jl. Kebangkitan Nasional No. 2,
 Sriwedari, Laweyan, Surakarta, Jawa Tengah 57141";#UNKNOWN!;-757.041;1.108.164;seni, budaya;Museum Pribadi;"{""Senin"": ""Tutup"", ""Selasa"": ""13:00-15:00"", ""Rabu"": ""13:00-15:00"", ""Kamis"": ""13:00-15:00"", ""Jumat"": ""10:00-15:00"", ""Sabtu"": ""10:00-15:00"", ""Minggu"": ""10:00-15:00""}";25000;25000;25000;2451;4,8;https://www.tumurunmuseum.org/;Tumurun Private Museum adalah museum pribadi milik keluarga Lukminto, pendiri PT Sritex, yang dibuka untuk umum sejak April 2018. Museum ini memamerkan berbagai karya seni kontemporer dan modern dari koleksi pribadi keluarga.;Melihat koleksi seni kontemporer dan modern, mengikuti tur galeri, berfoto di area pameran.;"Ruang Pameran, Koleksi Seni
 Kontemporer, Koleksi Mobil Antik, Area Foto Instagramable, Toilet, Toko Souvenir";Anak-anak, Remaja
T012;Monumen Pers Nasional;"Jl. Gajah Mada No.59, Timuran,
 Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132";#UNKNOWN!;-756.505;1.108.181;sejarah, budaya;Museum Pers;"{""Senin"": ""09:00-15:00"", ""Selasa"": ""09:00-15:00"", ""Rabu"": ""09:00-15:00"", ""Kamis"": ""09:00-15:00"", ""Jumat"": ""09:00-15:00"", ""Sabtu"": ""09:00-15:00"", ""Minggu"": ""Tutup""}";0;0;0;2485;4,7;;Monumen Pers Nasional adalah museum khusus media massa nasional Indonesia yang terletak di Surakarta. Koleksinya meliputi teknologi komunikasi dan reportase, seperti mesin ketik, pemancar, telepon, serta memorabilia tokoh wartawan nasional.;Melihat koleksi peralatan pers, mempelajari sejarah media massa Indonesia, mengikuti tur edukatif.;Perpustakaan, Ruang Baca Media Cetak dan Digital, Layanan e-paper dengan koleksi koran dan media cetak kuno, Virtual Tour, Toiler, Wifi, Ruang Multimedia, Ruang Seminar, Auditorium;Anak-anak, Remaja
T013;Benteng Vastenburg;Jalan Jenderal Soedirman, Kelurahan Kedung Lumbu, Kecamatan Pasar Kliwon, Surakarta, Jawa Tengah, Indonesia, 57133 ?;#UNKNOWN!;-757.195;1.108.307;sejarah;Bangunan Bersejarah;"{""Senin"": ""08:00-16:00"", ""Selasa"": ""08:00-16:00"", ""Rabu"": ""08:00-16:00"", ""Kamis"": ""08:00-16:00"", ""Jumat"": ""08:00-16:00"", ""Sabtu"": ""08:00-16:00"", ""Minggu"": ""08:00-16:00""}";0;0;0;15843;4,5;;Benteng Vastenburg adalah benteng bersejarah di Surakarta, Jawa Tengah, yang dibangun pada tahun 1745 atas perintah Gubernur Jenderal Gustaaf Willem van Imhoff. Benteng ini dibangun untuk mengawasi Keraton Surakarta dan menjadi pusat militer, administrasi, tempat tinggal Residen Surakarta, dan juga menampung tentara Belanda.;Menjelajahi area benteng, mempelajari sejarah kolonial, mengikuti acara budaya dan pameran.;Area terbuka, ruang pameran, panggung acara, toilet, area parkir.;Semua Umur
T014;Taman Cerdas Soekarno-Hatta;Jl. Ki Hajar Dewantara RT02 RW25, Jebres, Jl. Surya I Tengah No.25, RT.03/RW.25, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126;#UNKNOWN!;-755.403;1.108.534;lingkungan, kreativitas;Taman;"{""Senin"": ""09:00-21:00"", ""Selasa"": ""09:00-21:00"", ""Rabu"": ""09:00-21:00"", ""Kamis"": ""09:00-21:00"", ""Jumat"": ""09:00-21:00"", ""Sabtu"": ""09:00-21:00"", ""Minggu"": ""09:00-21:00""}";"{""Anak-anak"": 2000, ""Dewasa"": 5000}";2000;5000;5917;4,5;;Taman Cerdas Soekarno Hatta adalah sebuah taman kota di Solo yang menawarkan kombinasi antara ruang terbuka hijau, tempat bersantai, dan destinasi wisata edukasi. Taman ini dilengkapi dengan fasilitas yang lengkap dan menjadi pilihan menarik untuk dikunjungi saat memiliki waktu luang, terutama bagi yang mencari pengalaman wisata yang edukatif dan menyenangkan;Bermain di area bermain anak, belajar di perpustakaan dan ruang IT, menonton di ruang audio visual, berfoto dengan patung dinosaurus dan tokoh pewayangan, mengikuti kegiatan seni dan budaya di panggung terbuka.;Perpustakaan, ruang teknologi informasi, ruang audio visual, aula serbaguna, panggung terbuka, area bermain anak, patung dinosaurus, patung tokoh pewayangan, musala, toilet, gazebo, area parkir.;Semua Umur
T015;Kereta Api Uap Jaladara;"Jalan Slamet Riyadi No. 502
 Purwosari, Laweyan, Surakarta, Jawa Tengah 57142";#UNKNOWN!;-756.157;1.107.965;sejarah, teknologi;Transportasi;{};"{""Umum"": 120000, ""Sewa"": 3500000}";120000;3500000;2574;4,4;;Kereta Api Uap Jaladara, atau Sepur Kluthuk Jaladara, adalah kereta wisata bersejarah yang beroperasi di Kota Solo. Menggunakan lokomotif uap D1410 buatan Jerman tahun 1896, kereta ini melintasi jalur sepanjang 5,6 km dari Stasiun Purwosari hingga Stasiun Solo Kota, melewati Jalan Slamet Riyadi. Dengan dua gerbong berkapasitas total 72 penumpang, perjalanan ini menawarkan pengalaman nostalgia sambil menikmati pemandangan kota Solo.;Menikmati perjalanan dengan kereta uap klasik, melihat pemandangan kota Solo, berhenti di titik-titik ikonik seperti Museum Radya Pustaka dan Gedung Djoeang 45, berfoto di dalam kereta berornamen klasik.;Dua gerbong penumpang dengan interior klasik, kursi memanjang, ornamen jadul, pendingin udara, toilet, area parkir di stasiun keberangkatan;Semua Umur
T016;Museum Manusia Purba Sangiran Klaster Krikilan;Jl. Sangiran No.Km.4, Kebayanan II, Krikilan, Kec. Kalijambe, Kabupaten Sragen, Jawa Tengah 57275;#UNKNOWN!;-745.569;1.108.342;sains, sejarah;Museum Purba;"{""Senin"": ""Tutup"", ""Selasa"": ""08:00-16:00"", ""Rabu"": ""08:00-16:00"", ""Kamis"": ""08:00-16:00"", ""Jumat"": ""08:00-16:00"", ""Sabtu"": ""08:00-16:00"", ""Minggu"": ""08:00-16:00""}";"{""Domestik"": 15000, ""Asing"": 30000}";15000;30000;1770;4,6;http://sangiran.id/;Museum Manusia Purba Sangiran Klaster Krikilan di Dusun Ngampon, Sragen, merupakan visitor center utama Situs Sangiran (warisan dunia UNESCO). Memiliki tiga ruang pamer: Kekayaan Situs Sangiran, Langkah Kemanusiaan, dan Masa Keemasan Homo erectus. Menampilkan fosil Homo erectus Sangiran 17, fauna prasejarah, serta kisah peneliti dan tokoh lokal. Kawasan Sangiran mencakup 59,21 km² dan menyimpan lebih dari 50% temuan Homo erectus dunia.;Menyaksikan diorama evolusi manusia, mempelajari sejarah geologi Sangiran, mengikuti tur edukatif, dan berfoto di area pameran.;Ruang pameran interaktif, auditorium, toko suvenir, toilet, dan area parkir.;Anak-anak, Remaja
T017;Museum Manusia Purba Sangiran Klaster Ngebung;GVX5+WR, Dusun 3, Bukuran, Kec. Kalijambe, Kabupaten Sragen, Jawa Tengah 57275;#UNKNOWN!;-744.169;1.108.403;sains, sejarah;Museum Purba;"{""Senin"": ""Tutup"", ""Selasa"": ""08:00-16:00"", ""Rabu"": ""08:00-16:00"", ""Kamis"": ""08:00-16:00"", ""Jumat"": ""08:00-16:00"", ""Sabtu"": ""08:00-16:00"", ""Minggu"": ""08:00-16:00""}";"{""Domestik"": 15000, ""Asing"": 30000}";15000;30000;6559;4,5;http://sangiran.id/;Museum Manusia Purba Sangiran Klaster Ngebung menampilkan sejarah awal eksplorasi Situs Sangiran oleh para peneliti seperti Raden Saleh dan G.H.R. von Koenigswald. Museum ini menyajikan perjalanan panjang pengakuan Situs Sangiran sebagai warisan dunia melalui pameran artefak, dokumentasi penelitian, dan diorama interaktif.;Mempelajari sejarah penelitian arkeologi, melihat replika artefak, dan mengikuti program edukasi.;Ruang pameran, area edukasi, toilet, dan area parkir.;Anak-anak, Remaja
T018;Museum Manusia Purba Sangiran Klaster Bukuran;GVX5+WR, Dusun 3, Bukuran, Kec. Kalijambe, Kabupaten Sragen, Jawa Tengah 57275;#UNKNOWN!;-745.106;1.108.623;sains, sejarah;Museum Purba;"{""Senin"": ""Tutup"", ""Selasa"": ""08:00-16:00"", ""Rabu"": ""08:00-16:00"", ""Kamis"": ""08:00-16:00"", ""Jumat"": ""08:00-16:00"", ""Sabtu"": ""08:00-16:00"", ""Minggu"": ""08:00-16:00""}";"{""Domestik"": 15000, ""Asing"": 30000}";15000;30000;421;4,5;http://sangiran.id/;Museum Purba Sangiran Klaster Bukuran fokus pada teori evolusi manusia dan faktor-faktor yang mempengaruhinya. Museum dua lantai ini menyajikan materi secara populer dan interaktif, termasuk pameran tentang Homo Erectus dan lingkungan hidupnya di masa lalu.;Menjelajahi pameran evolusi manusia, mengikuti tur edukatif, dan berinteraksi dengan instalasi interaktif.;Ruang pameran dua lantai, fasilitas interaktif, toilet, dan area parkir.;Anak-anak, Remaja
T019;Museum Lapangan Manyarejo;Dsn. Grogolan RT 10, Ds. Manyarejo Kec. Plupuh, Sragen, Jawa Tengah, Indonesia;#UNKNOWN!;-74.485;1.108.609;sains, sejarah;Museum Purba;"{""Senin"": ""Tutup"", ""Selasa"": ""08:00-16:00"", ""Rabu"": ""08:00-16:00"", ""Kamis"": ""08:00-16:00"", ""Jumat"": ""08:00-16:00"", ""Sabtu"": ""08:00-16:00"", ""Minggu"": ""08:00-16:00""}";"{""Domestik"": 5000, ""Asing"": 20000}";5000;20000;114;4,5;http://sangiran.id/;Museum Lapangan Manyarejo merupakan museum lapangan yang menampilkan kondisi asli lokasi penggalian fosil di Sangiran. Museum ini memberikan penghargaan kepada warga lokal yang berkontribusi dalam penelitian serta menyajikan informasi beserta bukti-bukti ilmiah yang mudah dipahami pengunjung.;Mengamati lokasi penggalian fosil, mempelajari proses penelitian arkeologi, dan mengikuti tur edukatif.;Area pengamatan lapangan, ruang informasi, toilet, dan area parkir.;Anak-anak, Remaja
T020;Pura Mangkunagaran;Jl. Ronggowarsito, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131;#UNKNOWN!;-756.694;1.108.228;sejarah, budaya, religi;Keraton;"{""Senin"": ""08:00-14:30"", ""Selasa"": ""08:00:14:30"", ""Rabu"": ""08:00:14:30"", ""Kamis"": ""08:00:14:00"", ""Jumat"": ""08:00:14:30"", ""Sabtu"": ""08:00:14:30"", ""Minggu"": ""08:00:14:30""}";"{""Domestik"": 30000, ""Asing"": 50000}";30000;50000;8785;4,7;https://mangkunegaran.id/;Dibangun pada tahun 1757 oleh Raden Mas Said (Pangeran Sambernyawa), Pura Mangkunegaran adalah istana bersejarah yang menggabungkan arsitektur tradisional Jawa dan Eropa. Kompleks ini terdiri dari Pamedan, Pendopo Ageng, Pringgitan, Ndalem Ageng, Keputren, dan Pracimoyasa, serta menyimpan berbagai koleksi seni dan artefak kerajaan.;Menjelajahi kompleks istana, menyaksikan pertunjukan budaya, dan mempelajari sejarah Mangkunegaran.;Pendopo Ageng, museum artefak, perpustakaan Rekso Pustoko, taman, toilet, dan area parkir.;Anak-anak, Remaja
T021;Museum Lokananta;Jl. A. Yani No.379 A, Kerten, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57143.;#UNKNOWN!;-755.773;1.107.955;seni, budaya;Museum Musik;"{""Senin"": ""10:00-20:00"", ""Selasa"": ""10:00-20:00"", ""Rabu"": ""10:00-20:00"", ""Kamis"": ""10:00-20:00"", ""Jumat"": ""10:00-20:00"", ""Sabtu"": ""10:00-20:00"", ""Minggu"": ""10:00-20:00""}";"{
  ""WithGuide"": {
  ""Senior"": 25000,
  ""Pelajar"": 25000,
  ""Anak-anak"": 25000,
  ""Remaja"": 35000,
  ""Turis"": 70000
  },
  ""WithoutGuide"": {
  ""Senior"": 25000,
  ""Pelajar"": 25000,
  ""Anak-anak"": 25000,
  ""Remaja"": 35000,
  ""Turis"": 50000
  }
 }";25000;70000;2027;4,8;https://galerilokananta-online.globaltix.com/attraction/galeri-lokananta-58140;Museum Lokananta adalah studio rekaman pertama dan tertua di Indonesia, didirikan pada 29 Oktober 1956 oleh Raden Maladi, Kepala Jawatan RRI. Terletak di Laweyan, Solo, museum ini berdiri di atas lahan seluas 21.150 m² dan memiliki ruang rekaman terbesar di Indonesia. Awalnya berfungsi sebagai pabrik piringan hitam untuk merekam siaran RRI, Lokananta kini menjadi pusat dokumentasi sejarah musik Indonesia, menyimpan koleksi rekaman musik, pidato kenegaraan, dan peralatan rekaman kuno. Revitalisasi pada 2022 menjadikannya destinasi wisata musik dan pusat industri kreatif.;Menjelajahi galeri musik, melihat koleksi rekaman dan peralatan rekaman kuno, menghadiri pameran dan pertunjukan musik, mengikuti workshop musik dan industri kreatif.;Galeri musik, ruang pameran, ruang rekaman, area pertunjukan, kafe, toko suvenir, toilet, area parkir.;Semua Umur
T022;Candi Bubrah;Taman Martani , Kalasan , Sleman , Daerah Istimewa Yogyakarta, Klurakbaru, Tlogo, Kec. Prambanan, Kabupaten Klaten, Jawa Tengah 57454;#UNKNOWN!;-77.465;1.104.929;sejarah, budaya, religi;Cagar Budaya Hindu-Buddha & Arkeologi;"{""Senin"": ""06:00-18:00"", ""Selasa"": ""06:00-18:00"", ""Rabu"": ""06:00-18:00"", ""Kamis"": ""06:00-18:00"", ""Jumat"": ""06:00-18:00"", ""Sabtu"": ""06:00-18:00"", ""Minggu"": ""06:00-18:00""}";"{
  ""Domestik"": {
  ""Dewasa"": {
  ""Harga Normal"": 50000,
  ""Harga Promo"": ""Tergantung Promo""
  },
  ""Anak-anak (3–10 tahun)"": {
  ""Harga Normal"": 25000,
  ""Harga Promo"": ""Tergantung Promo""
  }
  },
  ""Mancanegara"": {
  ""Dewasa"": {
  ""Harga Normal"": 375000,
  ""Harga Promo"": ""Tidak Ada""
  },
  ""Anak-anak (3–10 tahun)"": {
  ""Harga Normal"": 225000,
  ""Harga Promo"": ""Tidak Ada""
  }
  }
 }";25000;375000;307;4,4;;"Candi Bubrah adalah candi Buddha abad ke-9 yang terletak di kawasan Prambanan, Klaten. Dibangun pada masa Kerajaan Mataram Kuno, candi ini memiliki struktur unik dengan satu stupa utama dikelilingi oleh delapan dan enam belas stupa kecil, mencerminkan konsep mandala dalam arsitektur Buddha. Nama ""Bubrah"" berarti ""rusak"" dalam bahasa Jawa, merujuk pada kondisi candi saat ditemukan. Pemugaran selesai pada 14 Desember 2017, mengembalikan kemegahan candi sebagai bagian dari kompleks Candi Sewu.";Menjelajahi reruntuhan Candi Bubrah, Berfoto dengan latar belakang candi, Mempelajari sejarah dan arsitektur candi, Menikmati suasana alam yang asri, Mengunjungi candi-candi lain di kompleks Prambanan, Menyaksikan pertunjukan seni tradisional (di Candi Prambanan).;Toilet umum yang bersih dan terawat, Mushola untuk beribadah, Area parkir yang luas, Pusat informasi wisata, Toko suvenir, Restoran dan warung makan, Area bermain anak-anak (di Candi Prambanan), Penyewaan sepeda (di Candi Prambanan).;Semua Umur
