ID Tempat,Nama Wisata,Detail Alamat,Latitude,Longitude,Kategori,Jenis Tempat,Jam Operasional,Harga Tiket,Harga Min,Harga Max,Jumlah Ulasan (Google Maps),Overall Rating (Google Maps),Link Website,Deskripsi Singkat,Aktivitas,Fasilitas,Kategori Umur,Deskripsi Cleaned,Aktivitas Cleaned,Fasilitas Cleaned
T028,Ronce Stable,"Jl. Tentara Pelajar, Empat, Tepisari, Kec. Polokarto, Kabupaten Sukoharjo, Jawa Tengah 57555",-7.67136513,110.91608975,lingkungan,Berkuda,"{""Senin"": ""07:00–16:30"", ""Selasa"": ""07:00–16:30"", ""Rabu"": ""07:00–16:30"", ""Kamis"": ""07:00–16:30"", ""Jumat"": ""07:00–16:30"", ""Sabtu"": ""07:00–16:30"", ""Minggu"": ""07:00–16:30""}","{
  ""village_tour_10_minutes"": ""25000"",
  ""rubber_forest_tour_40_50_minutes"": ""150000"",
  ""private_horseback_riding_member"": ""130000"",
  ""private_horseback_riding_non_member"": ""150000""
 }",25000,150000,92,4.7,-,"Ronce Stable adalah destinasi wisata unik di Tepisari, Sukoharjo, yang menawarkan pengalaman menunggang kuda pacuan bagi pecinta adrenalin. Selain berlatih berkuda, pengunjung juga bisa menikmati kuliner lokal dan berbagai spot foto menarik seperti taman bunga, saung, dan trek berkuda. Tersedia pula properti foto bertema koboi dan vintage yang menambah keseruan wisata.","Berkuda, pelatihan menunggang kuda, edukasi tentang perawatan kuda, berfoto dengan kuda, aktivitas anak-anak di alam terbuka.","Lintasan berkuda, kandang kuda, area latihan, instruktur profesional, area parkir, toilet, mushola, gazebo/area tunggu.","Anak-anak, Remaja",ronce stable adalah destinasi wisata unik di tepisari sukoharjo yang menawarkan pengalaman menunggang kuda pacuan bagi pecinta adrenalin selain berlatih berkuda pengunjung juga bisa menikmati kuliner lokal dan berbagai spot foto menarik seperti taman bunga saung dan trek berkuda tersedia pula properti foto bertema koboi dan vintage yang menambah keseruan wisata,"['berkuda', 'pelatihan menunggang kuda', 'edukasi tentang perawatan kuda', 'berfoto dengan kuda', 'aktivitas anak-anak di alam terbuka.']","['lintasan berkuda', 'kandang kuda', 'area latihan', 'instruktur profesional', 'area parkir', 'toilet', 'mushola', 'gazebo/area tunggu.']"
T029,Alun-Alun Kidul Surakarta,"alun alun kidul, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57118",-7.5821946,110.8264209,"budaya, lingkungan",Alun-Alun,0,0,0,0,26469,4.5,-,"Alun-alun Kidul Surakarta adalah tempat yang ramai dikunjungi masyarakat Solo, di mana mereka bisa menikmati sore hari dengan berbagai aktivitas seperti berolahraga, duduk santai, atau mencicipi jajanan lokal. Di sini, pengunjung juga bisa mencoba aktivitas masangin, berjalan melewati dua beringin kembar dengan mata tertutup, yang dipercaya dapat mewujudkan permohonan. Selain itu, terdapat kerbau bule koleksi Keraton Surakarta yang bisa diberi makan, serta fasilitas andong untuk mengelilingi kawasan tersebut","masangin (berjalan melewati dua beringin kembar dengan mata tertutup), memberi makan kerbau bule, bersepeda onthel, bersantai atau piknik, naik andong keliling alun-alun, berolahraga ringan, dan menikmati kuliner lokal.","area untuk berolahraga, warung jajanan, kandang kerbau, area untuk masangin, dan andong untuk mengelilingi alun-alun.",Semua Umur,alunalun kidul surakarta adalah tempat yang ramai dikunjungi masyarakat solo di mana mereka bisa menikmati sore hari dengan berbagai aktivitas seperti berolahraga duduk santai atau mencicipi jajanan lokal di sini pengunjung juga bisa mencoba aktivitas masangin berjalan melewati dua beringin kembar dengan mata tertutup yang dipercaya dapat mewujudkan permohonan selain itu terdapat kerbau bule koleksi keraton surakarta yang bisa diberi makan serta fasilitas andong untuk mengelilingi kawasan tersebut,"['masangin (berjalan melewati dua beringin kembar dengan mata tertutup)', 'memberi makan kerbau bule', 'bersepeda onthel', 'bersantai atau piknik', 'naik andong keliling alun-alun', 'berolahraga ringan', 'dan menikmati kuliner lokal.']","['area untuk berolahraga', 'warung jajanan', 'kandang kerbau', 'area untuk masangin', 'dan andong untuk mengelilingi alun-alun.']"
T030,Cepogo Cheese Park,"Dusun II, Genting, Kec. Cepogo, Kabupaten Boyolali, Jawa Tengah 57362",-7.5061031,110.499962,"lingkungan, sains",Sains,"{""Senin"": ""08:00–17:00"", ""Selasa"": ""08:00–17:00"", ""Rabu"": ""08:00–17:00"", ""Kamis"": ""08:00–17:00"", ""Jumat"": ""08:00–17:00"", ""Sabtu"": ""08:00–17:00"", ""Minggu"": ""08:00–17:00""}","{
  ""cheese_park"": {
  ""weekday"": 20000,
  ""weekend"": 25000
  },
  ""tiket_combo_2_wahana_a"": {
  ""weekday"": 35000,
  ""weekend"": 45000
  },
  ""paket_5_activity"": {
  ""weekday"": 49000,
  ""weekend"": 49000
  }
 }",20000,49000,6865,4.5,https://cimorydairyland.com/estate/cepogo-cheese-park,"Cepogo Cheese Park merupakan destinasi wisata keluarga bertema edukasi peternakan dan produksi keju yang berada di dataran tinggi Cepogo, Boyolali. Dengan latar pemandangan Gunung Merapi dan Merbabu, tempat ini menyuguhkan pengalaman berinteraksi langsung dengan hewan ternak seperti sapi dan kambing perah, serta proses pembuatan keju secara tradisional. Tersedia juga area bermain anak, spot foto menarik, dan restoran yang menyajikan berbagai produk olahan susu. Suasana alam yang sejuk dan konsep wisata edukatif menjadikannya pilihan ideal untuk liburan keluarga maupun kunjungan sekolah.","Memberi makan hewan ternak, menyaksikan pembuatan keju, edukasi peternakan, bermain di playground, berfoto di spot instagramable, mencicipi olahan susu.","Peternakan edukatif, area pembuatan keju, playground anak, restoran, toko oleh-oleh, spot foto, area parkir, toilet, mushola.",Semua Umur,cepogo cheese park merupakan destinasi wisata keluarga bertema edukasi peternakan dan produksi keju yang berada di dataran tinggi cepogo boyolali dengan latar pemandangan gunung merapi dan merbabu tempat ini menyuguhkan pengalaman berinteraksi langsung dengan hewan ternak seperti sapi dan kambing perah serta proses pembuatan keju secara tradisional tersedia juga area bermain anak spot foto menarik dan restoran yang menyajikan berbagai produk olahan susu suasana alam yang sejuk dan konsep wisata edukatif menjadikannya pilihan ideal untuk liburan keluarga maupun kunjungan sekolah,"['memberi makan hewan ternak', 'menyaksikan pembuatan keju', 'edukasi peternakan', 'bermain di playground', 'berfoto di spot instagramable', 'mencicipi olahan susu.']","['peternakan edukatif', 'area pembuatan keju', 'playground anak', 'restoran', 'toko oleh-oleh', 'spot foto', 'area parkir', 'toilet', 'mushola.']"
T031,Museum Mini Sisa Hartaku,"Jl. Petung Merapi, Petung, Kepuharjo, Kec. Cangkringan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583",-7.6005361,110.4490782,sejarah,Sejarah Gunung Merapi,"{""Senin"": ""06:00–18:00"", ""Selasa"": ""06:00–18:00"", ""Rabu"": ""06:00–18:00"", ""Kamis"": ""06:00–18:00"", ""Jumat"": ""06:00–18:00"", ""Sabtu"": ""06:00–18:00"", ""Minggu"": ""06:00–18:00""}",5000,5000,5000,3154,4.7,-,"Museum Mini Sisa Hartaku adalah museum kecil yang berdiri sebagai saksi bisu dahsyatnya letusan Gunung Merapi tahun 2010. Terletak di Dusun Petung, Sleman, museum ini memamerkan benda-benda sisa erupsi seperti sepeda motor, peralatan rumah tangga, tulang hewan, hingga foto-foto kondisi desa setelah bencana. Tempat ini menawarkan pengalaman emosional dan reflektif, menggambarkan dampak bencana alam dan ketangguhan masyarakat lereng Merapi. Museum ini dikelola oleh warga lokal dan menjadi bagian dari jalur wisata edukasi Merapi.","Melihat koleksi sisa letusan Merapi, belajar sejarah bencana, mendengarkan kisah warga setempat, foto dokumentasi bencana, edukasi mitigasi bencana.","Ruang pamer sederhana, papan informasi, area parkir, toilet, warung warga, area duduk.",Remaja,museum mini sisa hartaku adalah museum kecil yang berdiri sebagai saksi bisu dahsyatnya letusan gunung merapi tahun 2010 terletak di dusun petung sleman museum ini memamerkan bendabenda sisa erupsi seperti sepeda motor peralatan rumah tangga tulang hewan hingga fotofoto kondisi desa setelah bencana tempat ini menawarkan pengalaman emosional dan reflektif menggambarkan dampak bencana alam dan ketangguhan masyarakat lereng merapi museum ini dikelola oleh warga lokal dan menjadi bagian dari jalur wisata edukasi merapi,"['melihat koleksi sisa letusan merapi', 'belajar sejarah bencana', 'mendengarkan kisah warga setempat', 'foto dokumentasi bencana', 'edukasi mitigasi bencana.']","['ruang pamer sederhana', 'papan informasi', 'area parkir', 'toilet', 'warung warga', 'area duduk.']"
T032,Kebun Raya Indrokilo,"Unnamed Road, Area Sawah, Butuh, Kec. Mojosongo, Kabupaten Boyolali, Jawa Tengah 57482",-7.5590237,110.631048,"lingkungan, sains",Kebun Raya,"{""Senin"": ""0"", ""Selasa"": ""08:00–16:00"", ""Rabu"": ""08:00–16:00"", ""Kamis"": ""08:00–16:00"", ""Jumat"": ""08:00–16:00"", ""Sabtu"": ""08:00–16:00"", ""Minggu"": ""08:00–16:00""}",5500,5500,5500,1571,4.4,https://kebunrayaindrokilo.boyolali.go.id/,"Kebun Raya Indrokilo merupakan kawasan konservasi dan wisata edukasi botani yang terletak di Mojosongo, Boyolali. Taman ini mengusung konsep taman tematik yang memadukan fungsi konservasi tumbuhan, penelitian, pendidikan, dan pariwisata. Di area seluas lebih dari 8 hektar, pengunjung dapat menjumpai berbagai zona menarik seperti Taman Labirin, Gerbang Pasingsingan, patung tokoh pewayangan Bima, dan rumah kaca (greenhouse) berisi koleksi tanaman langka. Suasananya yang sejuk dan asri menjadikannya tempat yang cocok untuk rekreasi keluarga sekaligus pembelajaran lingkungan hidup dan pelestarian flora Indonesia.","Berjalan di taman tematik, menjelajahi labirin, fotografi di spot estetik, belajar tentang tanaman langka, menikmati suasana alam, piknik keluarga.","Taman tematik, taman labirin, rumah kaca (greenhouse), area bermain anak, spot foto, area parkir, toilet, mushola.",Semua Umur,kebun raya indrokilo merupakan kawasan konservasi dan wisata edukasi botani yang terletak di mojosongo boyolali taman ini mengusung konsep taman tematik yang memadukan fungsi konservasi tumbuhan penelitian pendidikan dan pariwisata di area seluas lebih dari 8 hektar pengunjung dapat menjumpai berbagai zona menarik seperti taman labirin gerbang pasingsingan patung tokoh pewayangan bima dan rumah kaca greenhouse berisi koleksi tanaman langka suasananya yang sejuk dan asri menjadikannya tempat yang cocok untuk rekreasi keluarga sekaligus pembelajaran lingkungan hidup dan pelestarian flora indonesia,"['berjalan di taman tematik', 'menjelajahi labirin', 'fotografi di spot estetik', 'belajar tentang tanaman langka', 'menikmati suasana alam', 'piknik keluarga.']","['taman tematik', 'taman labirin', 'rumah kaca (greenhouse)', 'area bermain anak', 'spot foto', 'area parkir', 'toilet', 'mushola.']"
T033,Umbul Tlatar Boyolali,"Jl. Pangeran Diponegoro, Dusun 2, Kebonbimo, Kec. Boyolali, Kabupaten Boyolali, Jawa Tengah 57316",-7.4941046,110.6211498,lingkungan,Taman Air,"{""Senin"": ""07:00–16:00"", ""Selasa"": ""07:00–16:00"", ""Rabu"": ""07:00–16:00"", ""Kamis"": ""07:00–16:00"", ""Jumat"": ""07:00–16:00"", ""Sabtu"": ""07:00–16:00"", ""Minggu"": ""07:00–16:00""}",15000,15000,15000,2803,4.2,-,"Umbul Tlatar adalah objek wisata air berbasis sumber mata air alami yang berada di Kecamatan Boyolali. Destinasi ini dikenal sebagai tempat rekreasi keluarga yang menggabungkan wisata air, kuliner, edukasi, dan konservasi alam. Sumber air di Umbul Tlatar berasal langsung dari mata air pegunungan Merapi-Merbabu, menjadikan airnya sangat jernih dan segar. Terdapat kolam renang alami, kolam terapi ikan, kolam pancing, wahana permainan anak, dan edukasi pertanian hidroponik. Suasana sejuk dan fasilitas lengkap membuat Umbul Tlatar cocok untuk wisata harian bersama keluarga.","Berenang di kolam alami, bermain air, terapi ikan, memancing, wisata kuliner, belajar hidroponik, edukasi lingkungan.","Kolam renang alami, kolam terapi ikan, kolam pancing, taman bermain anak, kios kuliner, area parkir, toilet, mushola, gazebo, aula pertemuan.",Semua Umur,umbul tlatar adalah objek wisata air berbasis sumber mata air alami yang berada di kecamatan boyolali destinasi ini dikenal sebagai tempat rekreasi keluarga yang menggabungkan wisata air kuliner edukasi dan konservasi alam sumber air di umbul tlatar berasal langsung dari mata air pegunungan merapimerbabu menjadikan airnya sangat jernih dan segar terdapat kolam renang alami kolam terapi ikan kolam pancing wahana permainan anak dan edukasi pertanian hidroponik suasana sejuk dan fasilitas lengkap membuat umbul tlatar cocok untuk wisata harian bersama keluarga,"['berenang di kolam alami', 'bermain air', 'terapi ikan', 'memancing', 'wisata kuliner', 'belajar hidroponik', 'edukasi lingkungan.']","['kolam renang alami', 'kolam terapi ikan', 'kolam pancing', 'taman bermain anak', 'kios kuliner', 'area parkir', 'toilet', 'mushola', 'gazebo', 'aula pertemuan.']"
T034,Wisata Terpadu Bukit Pertapan Bayat,"Kebon, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57462",-7.7731238,110.6462368,lingkungan,Geologi,"{""Senin"": ""05:00-19:00"", ""Selasa"": ""05:00-19:00"", ""Rabu"": ""05:00-19:00"", ""Kamis"": ""05:00-19:00"", ""Jumat"": ""05:00-19:00"", ""Sabtu"": ""05:00-19:00"", ""Minggu"": ""05:00-19:00""}","""{
  ""Tiket Masuk"": {
  ""Umum"": 3000
  }
 }",3000,3000,177,4.4,,"Bukit Pertapan Klaten adalah destinasi wisata alam yang memiliki nilai sejarah dan edukasi, terletak di Desa Kebon, Bayat, Klaten. Dahulu digunakan sebagai tempat bertapa Panembahan Menanglase, kini kawasan ini menjadi tempat rekreasi yang menyuguhkan pemandangan indah, udara sejuk, serta berbagai fasilitas edukatif dan rekreatif untuk semua kalangan.","Trekking Bukit,Belajar Geologi,Ziarah Sejarah & Religi,Berfoto di Spot Instagramable,Menikmati Sunrise & Sunset,Bermain di Taman Anak,Outbound & Edukasi Lingkungan,Wisata Kuliner & UMKM Lokal","Gazebo, Spot Foto,Playground,Gardu Pandang,Menara Pandang dan Warung Makan",Semua Umur,bukit pertapan klaten adalah destinasi wisata alam yang memiliki nilai sejarah dan edukasi terletak di desa kebon bayat klaten dahulu digunakan sebagai tempat bertapa panembahan menanglase kini kawasan ini menjadi tempat rekreasi yang menyuguhkan pemandangan indah udara sejuk serta berbagai fasilitas edukatif dan rekreatif untuk semua kalangan,"['trekking bukit', 'belajar geologi', 'ziarah sejarah & religi', 'berfoto di spot instagramable', 'menikmati sunrise & sunset', 'bermain di taman anak', 'outbound & edukasi lingkungan', 'wisata kuliner & umkm lokal']","['gazebo', 'spot foto', 'playground', 'gardu pandang', 'menara pandang dan warung makan']"
T035,Lembah Gunung Madu,"Jl. Raya Simo-Klego KM.5, Gunung Madu, Simo, Tanjung, Klego",-7.4103784,110.6897083,lingkungan,"Geowisata, edukasi geologi dan sejarah alam","{""Senin"": ""08:00-17:00"", ""Selasa"": ""08:00-17:00"", ""Rabu"": ""08:00-17:00"", ""Kamis"": ""08:00-17:00"", ""Jumat"": ""08:00-17:00"", ""Sabtu"": ""08:00-17:00"", ""Minggu"": ""08:00-17:00""}","{
  ""Tiket Masuk"": 10000,
  ""Wahana"": {
  ""Flying Fox"": 20000,
  ""Sepeda Gantung"": 25000
  },
  ""Parkir"": {
  ""Sepeda Motor"": 4000,
  ""Mobil"": 5000
  }
 }",10,10,2992,4.0,,"Lembah Gunung Madu merupakan destinasi wisata alam dan edukatif yang terletak di kaki Gunung Madu, Desa Simo, Boyolali. Menyajikan perpaduan panorama alam yang asri, situs sejarah gua-gua peninggalan, mini zoo, serta wahana rekreasi modern, tempat ini cocok untuk wisata keluarga, edukasi anak, hingga aktivitas petualangan.","Aktivitas Deskripsi Singkat,Eksplorasi Gua Bersejarah,Mini Zoo,Spot Foto Instagramable,Taman Rekreasi Anak,Flying Fox & Sepeda Gantung,Kuliner & Edukasi Lokal","Mushola, toilet umum, area parkir luas, gazebo, pendopo, dan saung, restoran dan tempat makan, mini zoo, wahana permainan anak, wahana flying fox & sepeda gantung, spot foto tematik.",Semua Umur,lembah gunung madu merupakan destinasi wisata alam dan edukatif yang terletak di kaki gunung madu desa simo boyolali menyajikan perpaduan panorama alam yang asri situs sejarah guagua peninggalan mini zoo serta wahana rekreasi modern tempat ini cocok untuk wisata keluarga edukasi anak hingga aktivitas petualangan,"['aktivitas deskripsi singkat', 'eksplorasi gua bersejarah', 'mini zoo', 'spot foto instagramable', 'taman rekreasi anak', 'flying fox & sepeda gantung', 'kuliner & edukasi lokal']","['mushola', 'toilet umum', 'area parkir luas', 'gazebo', 'pendopo', 'dan saung', 'restoran dan tempat makan', 'mini zoo', 'wahana permainan anak', 'wahana flying fox & sepeda gantung', 'spot foto tematik.']"
T036,Umbul Ponggok,"Jl. Delanggu- Polanharjo No.Ds, Jeblogan, Ponggok, Kec. Polanharjo, Kabupaten Klaten, Jawa Tengah 57474",-7.6138103,110.6358647,lingkungan,"Ekowisata air, konservasi mata air","{""Senin"": ""08:00-16:00"", ""Selasa"": ""08:00-16:00"", ""Rabu"": ""08:00-16:00"", ""Kamis"": ""08:00-16:00"", ""Jumat"": ""08:00-16:00"", ""Sabtu"": ""07:00-17:00"", ""Minggu"": ""07:00-17:00""}","{
  ""Weekday"": 10000,
  ""Weekend"": 15000
  }",10,15,22101,4.5,,"Umbul Ponggok adalah kolam alami berisi mata air jernih yang telah ada sejak abad ke-19. Terletak di Klaten, tempat ini terkenal sebagai destinasi wisata edukasi dan rekreasi air dengan konsep underwater experience. Pengunjung bisa belajar tentang ekosistem air tawar sambil menikmati aktivitas snorkeling dan fotografi bawah air yang unik.","Snorkeling, diving, fotografi bawah air, mengamati mata air, perahu kayuh, dan kolam anak.","Kolam utama (50 x 25 meter, kedalaman 1–3 meter), kolam anak, area spot foto bawah air (sepeda, tenda, laptop, kursi, dll.), sewa alat snorkeling & diving, perahu kayuh, loker penyimpanan, warung makan, musala, serta toilet & kamar mandi bilas.",Semua Umur,umbul ponggok adalah kolam alami berisi mata air jernih yang telah ada sejak abad ke19 terletak di klaten tempat ini terkenal sebagai destinasi wisata edukasi dan rekreasi air dengan konsep underwater experience pengunjung bisa belajar tentang ekosistem air tawar sambil menikmati aktivitas snorkeling dan fotografi bawah air yang unik,"['snorkeling', 'diving', 'fotografi bawah air', 'mengamati mata air', 'perahu kayuh', 'dan kolam anak.']","['kolam utama (50 x 25 meter', 'kedalaman 1–3 meter)', 'kolam anak', 'area spot foto bawah air (sepeda', 'tenda', 'laptop', 'kursi', 'dll.)', 'sewa alat snorkeling & diving', 'perahu kayuh', 'loker penyimpanan', 'warung makan', 'musala', 'serta toilet & kamar mandi bilas.']"
T037,Candi Sojiwan,"Jl. Banjarsari No.12 RT. 03, RT.03/RW.03, Kwaron, Kb. Dalem Kidul, Kec. Prambanan, Kabupaten Klaten, Jawa Tengah 57454",-7.7610569,110.4960268,"sejarah, budaya, religi",Cagar Budaya Hindu-Buddha,"{""Senin"": ""06:00-17:00"", ""Selasa"": ""06:00-17:00"", ""Rabu"": ""06:00-17:00"", ""Kamis"": ""06:00-17:00"", ""Jumat"": ""06:00-17:00"", ""Sabtu"": ""06:00-17:00"", ""Minggu"": ""06:00-17:00""}","""{
  ""Tiket Masuk"": {
  ""Umum"": 5000
  }
 }",5000,5000,2698,4.5,,"Candi Sojiwan adalah candi peninggalan kebudayaan Buddha yang terletak di Kabupaten Klaten, Jawa Tengah. Ditemukan pada tahun 1813 dan telah dipugar pada tahun 2011, candi ini merupakan situs sejarah yang mengandung banyak prasasti, arca, dan ukiran yang menggambarkan kehidupan masyarakat pada zaman dahulu. Selain keindahan candi itu sendiri, pengunjung juga dapat menikmati keasrian taman sekitar candi yang dipenuhi rerumputan hijau dan pohon-pohon tinggi.","Mempelajari Sejarah, Fotografi, Berjalan Mengelilingi Candi, Piknik.","Ruang Informasi, Area Parkir, Toilet Umum, Warung Makan, Gazebo.",Semua Umur,candi sojiwan adalah candi peninggalan kebudayaan buddha yang terletak di kabupaten klaten jawa tengah ditemukan pada tahun 1813 dan telah dipugar pada tahun 2011 candi ini merupakan situs sejarah yang mengandung banyak prasasti arca dan ukiran yang menggambarkan kehidupan masyarakat pada zaman dahulu selain keindahan candi itu sendiri pengunjung juga dapat menikmati keasrian taman sekitar candi yang dipenuhi rerumputan hijau dan pohonpohon tinggi,"['mempelajari sejarah', 'fotografi', 'berjalan mengelilingi candi', 'piknik.']","['ruang informasi', 'area parkir', 'toilet umum', 'warung makan', 'gazebo.']"
T038,Gedung Djoeang 45,"Kedung Lumbu, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah",-7.5737486,110.8321967,sejarah,Sejarah perjuangan kemerdekaan,"{""Senin"": ""17:00-00:00"", ""Selasa"": ""17:00-00:00"", ""Rabu"": ""17:00-00:00"", ""Kamis"": ""17:00-00:00"", ""Jumat"": ""17:00-00:00"", ""Sabtu"": ""17:00-00:00"", ""Minggu"": ""17:00-00:00""}","""{
  """"Tiket Masuk"""": {
  """"Umum"""": 15000
  }
 }",15000,15000,799,4.6,,"Gedung Djoeang 45 adalah bangunan bersejarah yang dibangun pada masa penjajahan Belanda dan sekarang berfungsi sebagai tempat wisata sejarah yang modern. Terletak di pusat kota Solo, gedung ini memiliki arsitektur Eropa klasik dan menyajikan suasana yang estetik. Sejak tahun 2019, Gedung Djoeang 45 telah direvitalisasi dan menjadi destinasi populer untuk wisata sejarah, kuliner, dan foto-foto Instagramable.","Tur Gedung, Belajar Sejarah, Fotografi dan Selfie, Menikmati Suasana Senja.","panggung hiburan, kantin, pusat informasi, gazebo, mushola, toilet, dan area parkir yang luas.",Semua Umur,gedung djoeang 45 adalah bangunan bersejarah yang dibangun pada masa penjajahan belanda dan sekarang berfungsi sebagai tempat wisata sejarah yang modern terletak di pusat kota solo gedung ini memiliki arsitektur eropa klasik dan menyajikan suasana yang estetik sejak tahun 2019 gedung djoeang 45 telah direvitalisasi dan menjadi destinasi populer untuk wisata sejarah kuliner dan fotofoto instagramable,"['tur gedung', 'belajar sejarah', 'fotografi dan selfie', 'menikmati suasana senja.']","['panggung hiburan', 'kantin', 'pusat informasi', 'gazebo', 'mushola', 'toilet', 'dan area parkir yang luas.']"
T039,Candi Plaosan,"Jl. Candi Plaosan, Dukuh Plaosan, Bugisan, Kec. Prambanan, Kabupaten Klaten, Jawa Tengah 57454",-7.7405683,110.5046242,"sejarah, budaya, religi",Cagar Budaya Hindu-Buddha,"{""Senin"": ""08:00-17:00"", ""Selasa"": ""08:00-17:00"", ""Rabu"": ""08:00-17:00"", ""Kamis"": ""08:00-17:00"", ""Jumat"": ""08:00-17:00"", ""Sabtu"": ""08:00-17:00"", ""Minggu"": ""08:00-17:00""}","{
  ""Domestik"": {
  ""Dewasa"": 10000,
  ""Anak-anak"": 5000
  },
  ""Turis Asing"": {
  ""Dewasa"": 20000,
  ""Anak-anak"": 10000
  }
 }",5000,20000,11086,4.6,,"Candi Plaosan adalah kompleks candi Buddha yang dibangun pada abad ke-9 M, terletak di Klaten, Jawa Tengah, dekat Yogyakarta. Keunikan candi ini terletak pada perpaduan arsitektur Hindu dan Buddha, simbol toleransi beragama antara Rakai Pikatan (Hindu) dan Pramudyawardhani (Buddha). Lingkungan sekitar candi dipenuhi sawah hijau yang asri, cocok untuk wisata sejarah, budaya, dan edukasi.","Mempelajari sejarah candi, Berfoto-foto, Menonton pertunjukan seni budaya (tergantung jadwal), Mengikuti workshop kerajinan tangan (tergantung jadwal), Berkunjung ke desa wisata sekitar.","Toilet umum, Mushola, Area parkir luas, Pusat informasi, Pemandu wisata (dengan biaya tambahan), Penyewaan payung/topi, Penjualan souvenir, Kotak P3K, Area istirahat, Warung makan dan minuman.",Semua Umur,candi plaosan adalah kompleks candi buddha yang dibangun pada abad ke9 m terletak di klaten jawa tengah dekat yogyakarta keunikan candi ini terletak pada perpaduan arsitektur hindu dan buddha simbol toleransi beragama antara rakai pikatan hindu dan pramudyawardhani buddha lingkungan sekitar candi dipenuhi sawah hijau yang asri cocok untuk wisata sejarah budaya dan edukasi,"['mempelajari sejarah candi', 'berfoto-foto', 'menonton pertunjukan seni budaya (tergantung jadwal)', 'mengikuti workshop kerajinan tangan (tergantung jadwal)', 'berkunjung ke desa wisata sekitar.']","['toilet umum', 'mushola', 'area parkir luas', 'pusat informasi', 'pemandu wisata (dengan biaya tambahan)', 'penyewaan payung/topi', 'penjualan souvenir', 'kotak p3k', 'area istirahat', 'warung makan dan minuman.']"
T040,The Heritage Palace,"jalan Permata Raya Dukuh Tegal Mulyo rt.002/rw.008, Honggobayan, Pabelan, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57169",-7.5547597,110.7548203,"sejarah, budaya",Museum gaya kolonial & edukasi transportasi,"{""Senin"": ""10:00-18:00"", ""Selasa"": ""10:00-18:00"", ""Rabu"": ""10:00-18:00"", ""Kamis"": ""10:00-18:00"", ""Jumat"": ""09:00-21:00"", ""Sabtu"": ""09:00-21:00"", ""Minggu"": ""09:00-21:00""}","{
  ""Tiket Masuk Gate Outdoor"": 30000,
  ""Tiket Terusan (Outdoor + Indoor)"": {
  ""Weekday"": 55000,
  ""Weekend"": 65000
  },
  ""Anak-anak"": ""Gratis untuk tinggi badan di bawah 100 cm"",
 }",30,65,12902,4.4,,"The Heritage Palace Solo adalah objek wisata edukatif dan keluarga yang berlokasi di bekas pabrik gula Gembongan, Sukoharjo. Dibuka sejak 2018, tempat ini menghadirkan nuansa arsitektur klasik Eropa dengan berbagai wahana menarik seperti Museum Transportasi, Museum 3D, taman bermain anak (Kids Town), dan area outdoor bergaya Romawi. Cocok untuk belajar sejarah, berburu foto estetik, hingga wisata kuliner dan budaya dalam satu kawasan.","Belajar Sejarah Transportasi,Melihat Koleksi Mobil Antik,Berfoto di Museum 3D,Menjelajah Bangunan Cagar Budaya,Bermain Edukatif di Kids Town,Berfoto di Area Outdoor Bernuansa Eropa,Kulineran di Food Court Heritage,Berbelanja Oleh-Oleh Khas Solo.","Tempat parkir yang luas,Toilet umum,Tempat sampah,Musala,Area Outdoor,Taman Bermain Kids Town,Food Court,Museum 3D,Museum Transportasi.",Semua Umur,the heritage palace solo adalah objek wisata edukatif dan keluarga yang berlokasi di bekas pabrik gula gembongan sukoharjo dibuka sejak 2018 tempat ini menghadirkan nuansa arsitektur klasik eropa dengan berbagai wahana menarik seperti museum transportasi museum 3d taman bermain anak kids town dan area outdoor bergaya romawi cocok untuk belajar sejarah berburu foto estetik hingga wisata kuliner dan budaya dalam satu kawasan,"['belajar sejarah transportasi', 'melihat koleksi mobil antik', 'berfoto di museum 3d', 'menjelajah bangunan cagar budaya', 'bermain edukatif di kids town', 'berfoto di area outdoor bernuansa eropa', 'kulineran di food court heritage', 'berbelanja oleh-oleh khas solo.']","['tempat parkir yang luas', 'toilet umum', 'tempat sampah', 'musala', 'area outdoor', 'taman bermain kids town', 'food court', 'museum 3d', 'museum transportasi.']"
